slug,source_url,rights_url,copyright_holder,licence,date_obtained
2x12-double-verb,https://upload.wikimedia.org/wikipedia/commons/f/f4/1973_Twin_Reverb.jpg,https://commons.wikimedia.org/wiki/File:1973_Twin_Reverb.jpg,Micahmedia (talk),CC BY 3.0,2026-09-19
2x12-texas-star,https://upload.wikimedia.org/wikipedia/commons/0/0a/Mesa_Boogie_Lone_Star_2x12%22_Combo.jpg,https://commons.wikimedia.org/wiki/File:Mesa_Boogie_Lone_Star_2x12%22_Combo.jpg,ArtBrom from Seattle,CC BY-SA 2.0,2026-09-19
4x12-5153,https://upload.wikimedia.org/wikipedia/commons/f/fe/EVH_5150III_full_stack.jpg,https://commons.wikimedia.org/wiki/File:EVH_5150III_full_stack.jpg,fvancini,CC BY 2.0,2026-09-19
4x12-citrus,https://upload.wikimedia.org/wikipedia/commons/b/bc/Orange_AD30HTC_and_PPC412.jpg,https://commons.wikimedia.org/wiki/File:Orange_AD30HTC_and_PPC412.jpg,Zumwalder,Public domain,2026-09-19
6g12-concert,https://upload.wikimedia.org/wikipedia/commons/4/40/Fender_Concert_Amp.jpg,https://commons.wikimedia.org/wiki/File:Fender_Concert_Amp.jpg,Centervolume,CC BY-SA 4.0,2026-09-19
8x10-sv-bass,https://upload.wikimedia.org/wikipedia/commons/d/d7/Peavey_head_%26_Ampeg_Classic_cabinet.jpg,https://commons.wikimedia.org/wiki/File:Peavey_head_%26_Ampeg_Classic_cabinet.jpg,Roadside Guitars,CC BY-SA 2.0,2026-09-19
angry-chuck,https://upload.wikimedia.org/wikipedia/commons/7/78/JHS_Angry_Charlie_V3.jpg,https://commons.wikimedia.org/wiki/File:JHS_Angry_Charlie_V3.jpg,El Grafo,CC BY-SA 4.0,2026-09-19
band-commander,https://upload.wikimedia.org/wikipedia/commons/3/38/1968_Fender_Bandmaster_front.jpg,https://commons.wikimedia.org/wiki/File:1968_Fender_Bandmaster_front.jpg,Glamafez,CC0,2026-09-19
brit-800,https://upload.wikimedia.org/wikipedia/commons/4/4f/Marshall_JCM800_amplifier.jpg,https://commons.wikimedia.org/wiki/File:Marshall_JCM800_amplifier.jpg,John2112,CC BY-SA 4.0,2026-09-19
brit-jvm,https://upload.wikimedia.org/wikipedia/commons/6/6e/PDB_2022-30%2C_Marshall_JVM.jpg,https://commons.wikimedia.org/wiki/File:PDB_2022-30%2C_Marshall_JVM.jpg,Cjp24,CC BY-SA 4.0,2026-09-19
citrus-a30,https://upload.wikimedia.org/wikipedia/commons/a/af/Wzmacniacz_gitarowy_AD30HTC_firmy_Orange.jpg,https://commons.wikimedia.org/wiki/File:Wzmacniacz_gitarowy_AD30HTC_firmy_Orange.jpg,muzyczny.pl,CC BY-SA 4.0,2026-09-19
citrus-terrier,https://upload.wikimedia.org/wikipedia/commons/f/f9/Orange_Tiny_Terror_Head_%28front%29.jpg,https://commons.wikimedia.org/wiki/File:Orange_Tiny_Terror_Head_%28front%29.jpg,wetwebwork,CC BY-SA 2.0,2026-09-19
class-a-15w-tb,https://upload.wikimedia.org/wikipedia/commons/8/83/VOX_AC15_CC1_%28Custom_Classic%29.jpg,https://commons.wikimedia.org/wiki/File:VOX_AC15_CC1_%28Custom_Classic%29.jpg,Roadside Guitars,CC BY-SA 2.0,2026-09-19
class-a-30w,https://upload.wikimedia.org/wikipedia/commons/5/56/VOX_AC30_Twin.jpg,https://commons.wikimedia.org/wiki/File:VOX_AC30_Twin.jpg,Karl Jonsson,CC BY 2.0,2026-09-19
deluxe-verb,https://upload.wikimedia.org/wikipedia/commons/b/b0/Fender_Deluxe_Reverb_Amp_%28by_cptbuzz%29.jpg,https://commons.wikimedia.org/wiki/File:Fender_Deluxe_Reverb_Amp_%28by_cptbuzz%29.jpg,cptbuzz,CC0,2026-09-19
double-verb,https://upload.wikimedia.org/wikipedia/commons/f/f4/1973_Twin_Reverb.jpg,https://commons.wikimedia.org/wiki/File:1973_Twin_Reverb.jpg,Micahmedia,CC BY 3.0,2026-09-19
